"version_id","version_name","category","approx_date","parent_version","parent_confidence","based_on_evidence","purpose","problem_being_solved","main_changes","model_structure_change","parameter_change","data_change","runner_change","checkpoint_change","oos_change","terminal_loh_change","capacity_change","key_functions_added","key_files","input_source","output_path","key_result","status","accepted_or_not","superseded_by","still_reusable_parts","current_relevance","evidence_paths","notes"
"M36","Stage85U early-reserve wait-and-see audits","MSP_DIAGNOSTIC","2026-08-18","M34","HIGH","result READMEs","explain policy behavior","early termination/reserve motivation unclear","path and effect-size audits","NO","NO","NO","YES analysis","NO","YES diagnostic","NO","NO","analysis scripts","results/85U*","Stage85R P200 OOS","results/task-002-stage2b-b3-smoke/85U*","wait-and-see evidence","DIAGNOSTIC_ONLY","YES evidence","NONE","analysis methods","explanation only","result READMEs","No parameter adoption"
"M37","Stage85V-W-X geometry consequence tail diagnostics","W_MSP_DIAGNOSTIC","2026-08-18","M34","MEDIUM","result READMEs and log","trace risk features","tail and geometry source unclear","loc geometry W saturation TerminalLOH tail audits","NO","NO","NO","YES analysis","NO","YES diagnostic","YES diagnostics","NO","analysis scripts","results/85V*;85W*;85X*","Stage85R outputs and W data","results/task-002-stage2b-b3-smoke/85V*;85W*;85X*","identified risk/tail mechanisms","DIAGNOSTIC_ONLY","YES evidence","W11","diagnostic methods","W rebuild motivation","result READMEs; log","Grouped method diagnostics"
"M38","Stage85Y cohort and intervention series","MSP_MECHANISM_SENSITIVITY","2026-08-18","M34","MEDIUM","result directory READMEs","probe TerminalLOH shape and wait-and-see","mechanism ambiguity","cohorts and A/B/C interventions","NO mostly","YES intervention arms","NO","YES many diagnostics","NO","YES smoke/diagnostic","YES shape tests","NO","Stage85Y runners","results/85Y*","Stage85R P200","results/task-002-stage2b-b3-smoke/85Y*","mechanism evidence only","DIAGNOSTIC_ONLY","NO mainline","NONE","cohort analysis","do not use as policy","result READMEs; log","Some arms sensitivity; grouped node"
"W11","Stage86 current W-grid geometry audit","W_DIAGNOSTIC","2026-08-18","M37;W10","MEDIUM","README and log","reconcile current geometry","old grid-road-site placement uncertain","static geometry audit","NO","NO","NO","YES audit","N/A","N/A","NO","NO","geometry audit","results/86-current-w-grid-geometry-audit","current W code","results/task-002-stage2b-b3-smoke/86-current-w-grid-geometry-audit","identified candidate geometry gaps","DIAGNOSTIC_ONLY","YES conclusion","W12","geometry evidence","current W ancestry","results/86-current-w-grid-geometry-audit/run-001/README.md; log","Cross-line parent is diagnostic"
"W12","Stage87A W geometry candidate preview","W_CANDIDATE_PREVIEW","2026-08-18","W11","HIGH","README and log","preview corrected geometry","need visual calibration","Position candidates preview","NO","YES geometry candidates","YES preview","YES preview runner","N/A","N/A","NO","NO","preview script","results/87A-w-geometry-candidate-preview","Stage86 audit","results/task-002-stage2b-b3-smoke/87A-w-geometry-candidate-preview","selected basis for Stage87B","DIAGNOSTIC_ONLY","YES evidence","W13","preview assets","current W ancestry","results/87A-w-geometry-candidate-preview/run-001/README.md; log","Not a formal bank"
"W13","Stage87B W kernel geometry ABC integration","W_MODEL_CONFIG","2026-08-18","W12","HIGH","CURRENT_W_MAINLINE README Stage87B README log","freeze new W candidate","kernel geometry and ABC inconsistency","parameterized loc lfw intensity kernels geometry shifts fragility config","YES W kernel/geometry","YES Rmax decay design speed","YES config","YES generator integration","N/A","N/A","INDIRECT","NO","Stage87B config/generator functions","terminalLoh_wdro/config/stage87b_candidate1; results/87B*","Stage87A candidate","results/task-002-stage2b-b3-smoke/87B-w-kernel-geometry-abc-integration","accepted kernel/config not full bank","ACCEPTED","YES","NONE","config and source snapshot","current W root","terminalLoh_wdro/current_w_mainline_stage88/CURRENT_W_MAINLINE.md; results/87B*/run-001/README.md","Geometry Position A"
"W14","Stage87C-A formal Stage87B W bank","W_DATA","2026-08-19","W13","HIGH","current bundle README hashes and Stage87C-A README","build formal bank","Stage87B only preview/integration","35 states x15000 fixed seeds exact DAC grouping","NO","NO","YES 525000 trajectories","YES formal generator","N/A","N/A","INDIRECT inputs","NO","formal bank generator","results/87C-A-stage87b-formal-w-bank","Stage87B config","results/task-002-stage2b-b3-smoke/87C-A-stage87b-formal-w-bank","accepted nominal bank","ACCEPTED","YES","NONE","bank random identity","current W bank ancestor","current bundle README; results/87C-A*/run-001/README.md","Large data referenced by manifest"
"W15","Stage87C-B0 recourse wind audit","W_DIAGNOSTIC","2026-08-19","W14","HIGH","README and log","audit recourse wind","wind consequence identity concern","read-only bank audit","NO","NO","NO","YES audit","N/A","N/A","NO","NO","audit scripts","results/87C-B0-w-recourse-wind-audit","Stage87C-A","results/task-002-stage2b-b3-smoke/87C-B0-w-recourse-wind-audit","wind identity evidence","DIAGNOSTIC_ONLY","YES evidence","NONE","audit checks","supporting evidence","results/87C-B0-w-recourse-wind-audit/run-001/README.md","Not generator parent"
"W16","Stage87D-A Candidate1 road fragility preview","W_PARAMETER_CANDIDATE","2026-08-19","W14;W13","HIGH","README current W docs","test road fragility","baseline road closures unrealistic","Candidate1 fragility preview","NO","YES fragility curve","YES preview consequences","YES preview runner","N/A","N/A","YES preview targets","NO","fragility preview","results/87D-A-stage87b-A-road-fragility-candidate1-preview","Stage87C-A","results/task-002-stage2b-b3-smoke/87D-A-stage87b-A-road-fragility-candidate1-preview","candidate supported for hardening tests","CANDIDATE","NO final","W19","fragility function","current W parameter ancestor","results/87D-A*/run-001/README.md; current W docs","Not engineering-final"
"W17","Stage87D-A1 unreachable capacity edge audit","W_DIAGNOSTIC","2026-08-19","W16","HIGH","README and log","find bottlenecks","unreachable loads dominate","capacity and critical edge diagnosis","NO","NO","NO","YES audit","N/A","N/A","NO","NO","edge audit","results/87D-A1-unreachable-load-capacity-edge-criticality","Stage87D-A","results/task-002-stage2b-b3-smoke/87D-A1-unreachable-load-capacity-edge-criticality","identified E33/E29 candidates","DIAGNOSTIC_ONLY","YES conclusion","W18;W19","criticality evidence","hardening rationale","results/87D-A1*/run-001/README.md; log","Pre-schema failure also preserved"
"W18","Stage87D-B H1 hardening","W_PARAMETER_SENSITIVITY","2026-08-19","W16;W17","HIGH","README current W docs","test E33 hardening","critical edge closure","E33 +5m/s","NO","YES E33","YES H1 bank preview","YES runner","N/A","N/A","YES preview targets","NO","hardening runner","results/87D-B-road-hardening-H1-H2-preview","Stage87C-A Candidate1","results/task-002-stage2b-b3-smoke/87D-B-road-hardening-H1-H2-preview","H1 comparator","SENSITIVITY_ONLY","NO","W19","hardening implementation","comparison only","results/87D-B*/run-001/README.md; CURRENT_W_MAINLINE.md","Not retained final arm"
"W19","Stage87D-B H2 retained hardening","W_PARAMETER_CANDIDATE","2026-08-19","W18","HIGH","current W docs and Stage88 provenance","retain H2 bank","E29 remains bottleneck","H1 plus E29 +2.5m/s","NO","YES E33/E29","YES H2 bank preview","YES runner","N/A","N/A","YES candidate targets","NO","hardening runner","results/87D-B-road-hardening-H1-H2-preview","Stage87C-A random identity","results/task-002-stage2b-b3-smoke/87D-B-road-hardening-H1-H2-preview","H2 selected into Stage88","ACCEPTED","YES computational","NONE","H2 bank generation settings","current W ancestor","CURRENT_W_MAINLINE.md; Stage87D-B and Stage88A READMEs","Computational candidate not engineering final"
"W20","Stage87D-C tank capacity TerminalLOH cap audit","W_DIAGNOSTIC","2026-08-19","W14","MEDIUM","README and log","trace capacity ceilings","TerminalLOH saturation unclear","capacity lineage diagnostic","NO","NO","NO","YES audit","N/A","N/A","YES diagnostic","YES audit","capacity audit","results/87D-C-tank-capacity-terminal-loh-cap-audit","Stage87C-A","results/task-002-stage2b-b3-smoke/87D-C-tank-capacity-terminal-loh-cap-audit","motivated CAP200 test","DIAGNOSTIC_ONLY","YES conclusion","W21-W24","capacity evidence","Stage88 rationale","results/87D-C*/run-001/README.md; log","Not direct generator"
"W21","Stage88A CAP150 SAA","TERMINAL_LOH_ARM","2026-08-19","W14;W19;W20","HIGH","Stage88A README tables","compare capacities and ambiguity","Site4 cap uncertainty","new H2 bank CAP150 SAA arm","NO","YES SAA","YES H2 bank/table","YES solver run","N/A","N/A","YES SAA table","YES Site4=150","Stage88 solver","results/88A-h2-bank-terminal-loh-site4-capacity-sensitivity","Stage87D-B H2","results/task-002-stage2b-b3-smoke/88A-h2-bank-terminal-loh-site4-capacity-sensitivity","historical comparator","HISTORICAL","NO current","W24","comparison table","sensitivity evidence","Stage88A README; current W bundle","Arm split for registry"
"W22","Stage88A CAP150 DRO","TERMINAL_LOH_ARM","2026-08-19","W21;W07","HIGH","Stage88A README tables","compare DRO at CAP150","ambiguity effect","Pearson eta003 CAP150","NO","YES eta=.03","YES table","YES solver run","N/A","N/A","YES DRO table","YES Site4=150","Stage88 solver","results/88A*","Stage87D-B H2","results/task-002-stage2b-b3-smoke/88A-h2-bank-terminal-loh-site4-capacity-sensitivity","historical DRO comparator","HISTORICAL","NO current","W24","DRO comparator","sensitivity evidence","Stage88A README; current W bundle","Not current table"
"W23","Stage88A CAP200 SAA","TERMINAL_LOH_ARM","2026-08-19","W21","HIGH","Stage88A README tables","compare SAA at CAP200","capacity effect","Site4 tank=200 SAA table","NO","YES SAA","YES table","YES solver run","N/A","N/A","YES SAA table","YES Site4=200","Stage88 solver","results/88A*","Stage87D-B H2","results/task-002-stage2b-b3-smoke/88A-h2-bank-terminal-loh-site4-capacity-sensitivity","accepted comparator","ACCEPTED","YES comparator","NONE","CAP200 SAA table","current comparison","Stage88A README; current W bundle","DRO is current active table"
"W24","Stage88A CAP200 DRO eta003","TERMINAL_LOH_CURRENT","2026-08-19","W19;W07;W08;W09;W23","HIGH","CURRENT_W_MAINLINE bundle manifests and hashes","create current robust table","old Stage53 and CAP150 mismatch","new H2 consequence bank plus CAP200 Pearson DRO","NO","YES eta=.03","YES 35x4 table","YES solver run","N/A","N/A","YES Stage88 current","YES Site4=200","Stage88 solver","terminalLoh_wdro/current_w_mainline_stage88/terminal_tables","Stage87D-B H2 bank","results/88A* and current bundle","current TerminalLOH table","CURRENT","YES","NONE","canonical/loader tables","active W input","CURRENT_W_MAINLINE.md; current bundle README/manifests; Stage88A README","Table SHA enforced by MSP loader"
"W25","Stage88A1 all-site capacity postaudit","W_DIAGNOSTIC","2026-08-19","W24","HIGH","bundle evidence index README","verify all-site caps","possible cap leakage","post-audit all capacities","NO","NO","NO","YES audit","N/A","N/A","YES validation","YES audit","capacity audit","results/88A1-all-site-capacity-postaudit","Stage88A outputs","results/task-002-stage2b-b3-smoke/88A1-all-site-capacity-postaudit","CAP200 passed","DIAGNOSTIC_ONLY","YES conclusion","NONE","audit gates","current W evidence","current bundle README; Stage88A1 README","Accepted audit not generator"
"W26","Stage88B Site1 350","CAPACITY_SENSITIVITY","2026-08-19","W24","HIGH","current W docs README","test Site1 expansion","capacity value question","Site1 300 to350","NO","YES Site1=350","YES sensitivity table","YES runner","N/A","N/A","YES sensitivity","YES","capacity runner","results/88B-site1-300-350-directed-capacity-sensitivity","Stage88 CAP200","results/task-002-stage2b-b3-smoke/88B-site1-300-350-directed-capacity-sensitivity","excluded from current","SENSITIVITY_ONLY","NO","NONE","sensitivity evidence","do not adopt","CURRENT_W_MAINLINE.md; Stage88B README","Explicitly excluded"
"W27","Stage88C Site4 250","CAPACITY_SENSITIVITY","2026-08-19","W24","HIGH","current W docs README","test Site4 expansion","capacity value question","Site4 200 to250","NO","YES Site4=250","YES sensitivity table","YES runner","N/A","N/A","YES sensitivity","YES","capacity runner","results/88C-site4-200-250-directed-capacity-sensitivity","Stage88 CAP200","results/task-002-stage2b-b3-smoke/88C-site4-200-250-directed-capacity-sensitivity","excluded from current","SENSITIVITY_ONLY","NO","NONE","sensitivity evidence","do not adopt","CURRENT_W_MAINLINE.md; Stage88C README","Explicitly excluded"
"W28","Stage88D 35-state statewise audit","W_DIAGNOSTIC","2026-08-19","W24;W25","HIGH","bundle evidence index README","reconcile all states","table ordering/value risk","statewise reconciliation","NO","NO","NO","YES audit","N/A","N/A","YES validation","NO","statewise audit","results/88D-new-35state-terminal-loh-statewise-audit","Stage88 tables","results/task-002-stage2b-b3-smoke/88D-new-35state-terminal-loh-statewise-audit","35-state readiness pass","DIAGNOSTIC_ONLY","YES conclusion","NONE","state ordering checks","current W evidence","current bundle README; Stage88D README","Accepted audit"
"W29","Stage88E state11-state28 DRO tail diagnostic","W_DIAGNOSTIC","2026-08-19","W24;W28","HIGH","bundle evidence index README","explain DRO tails","state tail difference unclear","tail probability diagnostic","NO","NO","NO","YES audit","N/A","N/A","YES tail explanation","NO","tail audit","results/88E-state28-state11-dro-tail-probability-diagnostic","Stage88 bank/tables","results/task-002-stage2b-b3-smoke/88E-state28-state11-dro-tail-probability-diagnostic","tail difference closed","DIAGNOSTIC_ONLY","YES conclusion","NONE","tail analysis","current W evidence","current bundle README; Stage88E README","Accepted audit"
"I01","Stage89A W bundle and MSP integration audit","INTEGRATION_AUDIT","2026-08-20","W13;W14;W19;W24;W25;W28;W29","HIGH","bundle README manifests log","resolve current W and MSP wiring","multiple W branches and legacy MSP lookup","read-only bundle and bridge audit","NO","NO","YES snapshots/manifests","YES audit/bundler","NO","NO","NO new table","NO","Stage89A bundler","terminalLoh_wdro/current_w_mainline_stage88","accepted stage results","results/89A*; current_w_mainline_stage88","resolved W chain; found MSP still legacy","CURRENT","YES index","NONE","reproducibility manifests","current W navigator","current bundle README/CURRENT_W_MAINLINE; Stage89A README; log","No computation"
"I02","Stage89B minimal Stage88 MSP integration","MSP_INTERFACE_DATA","2026-08-20","I01;M09","HIGH","README loader paths log","wire current TerminalLOH","legacy Stage53 and Site4=150 mismatch","candidate MAT Site4=200 and strict Stage88 table loader","NO","YES Site4 tank=200","YES candidate MAT/table","YES bridge smoke","NO","NO","YES Stage88 DRO","YES Site4 CAP200","build_stage88_candidate_msp_input_h2","terminalLoh_wdro/current_w_mainline_stage88/msp_bridge; results/89B*","Stage89A bundle","results/task-002-stage2b-b3-smoke/89B-stage88-terminal-loh-minimal-msp-integration","mapping and cut smoke pass","ACCEPTED","YES bridge","NONE","strict loader and MAT","current MSP input ancestor","Stage89B README; current bundle msp_bridge README; log","Did not fix active time grid"
"I03","Stage89C Stage88 DRO 10iter 3loc OOS","TRAINING_OOS","2026-08-20","I02;M00","HIGH","Stage89C README Stage89E audit log","formal-looking Stage88 run","need baseline","new runner but inherited legacy defaults","NO","NO","NO","YES 10iter/3loc","YES","YES loc1/4/7","YES Stage88","YES CAP200","Stage89C runner","results/89C-stage88-dro-10iter-3loc-oos10000","Stage89B bridge + legacy defaults","results/task-002-stage2b-b3-smoke/89C-stage88-dro-10iter-3loc-oos10000","completed as 6h 90.09 diagnostic","HISTORICAL","NO current","I07","artifact for regression diagnosis","DO NOT USE checkpoint","Stage89C README; Stage89E README; log","Model-line mixed: new TerminalLOH old runtime"
"I04","Stage89D penalty1500 sensitivity","PARAMETER_SENSITIVITY","2026-08-20","I03","HIGH","Stage89D README log","test weaker terminal incentive","2000 may overproduce","terminal gap penalty 1500","NO","YES penalty=1500","NO","YES sensitivity runner","YES 6h lineage checkpoint","YES","NO","NO","Stage89D runner","results/89D-terminal-gap-penalty-2000-1500-1000-sensitivity","Stage89C 6h model","results/task-002-stage2b-b3-smoke/89D-terminal-gap-penalty-2000-1500-1000-sensitivity","invalid for current 8h choice","SENSITIVITY_ONLY","NO","NONE","sensitivity method","DO NOT ADOPT","Stage89D README; Stage89E README; log","Must be rerun on 8h if needed"
"I05","Stage89D penalty1000 sensitivity","PARAMETER_SENSITIVITY","2026-08-20","I03","HIGH","Stage89D README log","test weaker terminal incentive","2000 may overproduce","terminal gap penalty 1000","NO","YES penalty=1000","NO","YES sensitivity runner","YES 6h lineage checkpoint","YES","NO","NO","Stage89D runner","results/89D-terminal-gap-penalty-2000-1500-1000-sensitivity","Stage89C 6h model","results/task-002-stage2b-b3-smoke/89D-terminal-gap-penalty-2000-1500-1000-sensitivity","invalid for current 8h choice","SENSITIVITY_ONLY","NO","NONE","sensitivity method","DO NOT ADOPT","Stage89D README; Stage89E README; log","Must be rerun on 8h if needed"
"I06","Stage89E 90.09 source audit","MSP_DIAGNOSTIC","2026-08-20","I03;I04;I05","HIGH","README source chain formula log","diagnose production ceiling","90.09 mistaken for explicit cap","traced defaults MAT params aggregate builder and formula","NO","NO","NO","YES source audit","NO","NO","NO","NO","source audit","results/89E-stage1-90p09-production-source-audit","Stage89C/D artifacts and code","results/task-002-stage2b-b3-smoke/89E-stage1-90p09-production-source-audit","proved active dt6; no scalar cap","DIAGNOSTIC_ONLY","YES conclusion","I07","regression sentinel formula","current 6h history","Stage89E README; log","90.09=0.0195*6*770"
"I07","Stage89F restore 8h hourly Stage88 mainline","MSP_CURRENT_MODEL","2026-08-20","I02;M07;M09;M15;M21;M27;I06","HIGH","current bundle code preflight README log","restore correct current entry","Stage89C/D used 6h aggregate","isolated options loader input and smoke; dt8 all hourly flags","YES composed current model","YES dt8 CAP200","YES original-hourly plus Stage88 input","YES smoke entry","NO checkpoint","NO OOS","YES Stage88 DRO","YES Site4=200","current_hourly_stage88_candidate_options_h2; load_current_hourly_stage88_candidate_h2","fa_msp/current_hourly_stage88_candidate","Stage89B MAT and Stage88 table","results/89F-restore-8h-hourly-stage88-msp-mainline","120.12 capacity smoke; no training","CURRENT","YES model entry","NONE","current loader/model preflight","active MSP model","fa_msp/current_hourly_stage88_candidate; Stage89F README; log","Stage89F itself smoke-only"
"I08","Stage89G run-001 schema and reload failures","RUNNER_FAILED","2026-08-20","I07","HIGH","archived FAILURE and RECOVERED markers source old path","run formal baseline","new runner had schema and memory regressions","monolithic training checkpoint reload OOS runner","NO model","NO","NO","YES new runner","YES same-process reload","PLANNED but not completed","NO","NO","execute_stage89g old implementation","fa_msp/current_hourly_stage88_candidate/launcher/run_current_hourly_stage88_dro_baseline_h2.m; results/89G*/run-001*","Stage89F model","results/task-002-stage2b-b3-smoke/89G-formal-8h-stage88-dro-10iter-3loc-oos10000/run-001*","duplicate column failure; later load OOM after checkpoint","FAILED","NO","I09","training artifact and failure evidence","do not use runner path","archived FAILURE.txt; RECOVERED_checkpoint_reload_memory_failure.txt; source","Two failures grouped; model not disproven"
"I09","Stage89G run-002 staged formal candidate","TRAINING_CHECKPOINT_OOS_CANDIDATE","2026-08-20","I07;M23;M34","HIGH","launcher stage85ha_lineage function reload adapter orchestrator source hashes","complete formal Stage88 8h workflow","avoid run-001 schema and OOM","fresh 10iter phased save-exit-reload 3loc OOS finalizer QA","NO model change","NO active parameters","NO new model data","YES new Stage89G adaptation","YES safe save SHA clean reload cut hash","YES loc1/4/7 each10k","YES Stage88 DRO","YES CAP200","run_current_hourly_stage88_dro_baseline_h2; run_current_hourly_stage88_run002_reload_audit_h2","fa_msp/current_hourly_stage88_candidate/launcher","Stage89F model and Stage88 table","results/task-002-stage2b-b3-smoke/89G-formal-8h-stage88-dro-10iter-3loc-oos10000/run-002","static gates identified; final runtime result not audited","CANDIDATE","NO pending QA","NONE","Stage89G gates and Stage85H-A lineage table","candidate formal runner","three Stage89G source files; current candidate config/input; result file inventory","DOCUMENTATION_CODE_MISMATCH: sources untracked so frozen HEAD does not freeze runner; external MATLAB present; no high-frequency log read"
"I10","Stage89H Stage85R single-loc4 gap1000","FA_MSP_TRAINING_OOS_INTEGRATION","2026-08-21","M34;M23;I07;W24","HIGH","Stage85R source/hash; Stage89H source manifest; run-003 README/QA","test penalty1000 with accepted single-known-initial-state semantics","prior multiloc requirement conflicted with Stage85R params.k_init behavior","thin Stage85R-derived single-arm runner; Stage89F loader; loc4; 10iter; clean single reload; loc4 10k OOS","NO core model change","YES terminal penalty1000 and loc4","YES Stage89F/Stage88 current input","YES thin launcher/orchestrator","YES Stage85H-A lifecycle","YES loc4 only 10000","NO table change; Stage88 DRO CAP200","NO","run_stage89h_stage85r_single_loc4_gap1000_h2; finalize_stage89h_single_loc4","fa_msp/current_hourly_stage88_candidate/launcher","Stage89F current model + Stage88 DRO CAP200","results/task-002-stage2b-b3-smoke/89H-stage85r-single-loc4-stage88-dro-gap1000-10iter-oos10000/run-003","Stage1 120.12kg; Stage1-3 inventory 247.747/288.280/299.423kg; mean cost 68445.650; shortage 6.140kg; gap 6.351kg","CANDIDATE","NO final scientific acceptance","NONE","Stage85R training/OOS mechanism; source manifest; same-state OOS","current single-initial-state candidate diagnostic","run-003/README.md; preflight_gates.csv; checkpoint_reload_audit.csv; qa_checks.csv; source_manifest.csv","One known loc4 state -> one fresh training -> same-state OOS; not Stage89G successor; 10 iterations not converged"
"D01","W outage severity and IEEE33 ideal reconfiguration diagnostic","W_DIAGNOSTIC","2026-08-21","W14;W24;I01","HIGH","Stage87C-A MAT fields; Stage88 table; current W bundle; run-003 README/QA/source manifest","separate physical outage D and TerminalLOH and estimate tie-line value","high a5/a6 TerminalLOH could be mistaken for realized demand and no-reconfiguration grid consequence had not been quantified","offline exact-realization outage audit; D distribution; critical lines; five-tie connectivity upper bound","NO","NO","NO new bank; read existing exact realizations","YES offline Python postprocessing only","NO","NO","NO table change; comparison only","NO","audit_w_grid_outage_reconfiguration.py","scripts/audit_w_grid_outage_reconfiguration.py","Stage87C-A W bank + Stage88 CAP200 SAA/DRO table + NearStageInput topology","results/task-002-stage2b-b3-smoke/w-grid-outage-reconfiguration-diagnostic/run-003","a3-a6 mean loss 2.049/10.231/25.697/44.424%; mean D 12.457/62.200/156.230/270.082kg; ideal tie D reduction a5/a6 33.934/25.918%; high T mainly reserve redundancy","DIAGNOSTIC_ONLY","YES conclusion","NONE","exact-realization parser; severity tables; topology-only sensitivity method","current W explanatory evidence only","run-003/README.md; qa_checks.csv; source_manifest.csv; outage_severity_by_intensity.csv; D_vs_TerminalLOH_by_intensity.csv; reconfiguration_effect_by_intensity.csv","IDEAL_TOPOLOGICAL_RECONFIGURATION_UPPER_BOUND; no W or TerminalLOH rerun; not an engineering restoration design"
"D02","Five-point hazard exposure reconfiguration targeted hardening paired preview","W_METHOD_PREVIEW","2026-08-21","W14;D01;I01","HIGH","Stage87C-A seeds stream positions actual sampled Vmax and failed_line; D01 routine; run-003 independent QA","test missed midpoint wind peaks and marginal value of critical-line hardening","three-point exposure may miss local wind peaks and extreme outage tail remained dominated by upstream feeders","full a3-a6 paired Python postprocess; midpoint centers and actual Vmax; ideal five-tie recon; G1/G2 horizontal fragility shifts","NO current model change","YES diagnostic fragility shifts +10/+5 m/s only","NO new bank; read 420000 frozen a3-a6 trajectories","YES isolated Python postprocessing","NO","NO","NO TerminalLOH change","NO","run_preview.py","results/task-002-stage2b-b3-smoke/w-5point-reconfig-hardening-preview/run-003/run_preview.py","Stage87C-A exact bank + D01 topology/reconfiguration + NearStageInput","results/task-002-stage2b-b3-smoke/w-5point-reconfig-hardening-preview/run-003","five-point mean D increase a5/a6 7.831/4.162%; G1 q95 D reduction 28.400/7.537% and blackout reduction 7.239/13.560pp; G2 incremental value LOW","METHOD_PREVIEW","YES diagnostic conclusion","NONE","exact MT19937 resistance replay; midpoint hazard evaluator; paired hardening and attribution metrics","current W upgrade decision evidence only","run-003/README.md; failure_sampling_semantics_audit.md; metrics_by_intensity_variant.csv; critical_line_tail_effect.csv; independent_qa.csv","GRID_ONLY_5POINT_PREVIEW; midpoint direct duration zero; ideal tie availability; no formal W or TerminalLOH replacement"
"D03","Topology-based H2 island restoration diagnostic","MODEL_SEMANTICS_DIAGNOSTIC","2026-08-21","D02;D01;M07","HIGH","D02 G1 exact-replay source; D01 tie topology; Stage79/80 site-bus mapping; run-001 radiality audit","quantify topology candidate pool for H2-containing non-source islands","road-only rescue semantics omitted possible post-reconfiguration H2-site components","static G1 failure-mask replay; binary tie switching; MAT-order Kruskal maximal spanning forest; component and lost-load classification","NO","NO","NO new bank or formal input","YES isolated Python topology postprocessing","NO","NO","NO","NO","run_diagnostic.py","results/task-002-stage2b-b3-smoke/topology-based-h2-island-diagnostic/run-001/run_diagnostic.py","D02 G1 frozen a3-a6 trajectories + NearStageInput IEEE33 + synthetic benchmark site mapping","results/task-002-stage2b-b3-smoke/topology-based-h2-island-diagnostic/run-001","H2 candidate D share a3-a6 20.740/34.222/39.474/41.947%; black share a5/a6 18.419/25.107%; all 173520 unique topologies radial/source-maximal","DIAGNOSTIC_ONLY","YES conclusion","NONE","binary-switch radial forest audit and topology candidate classification","future H2 island semantics evidence only","run-001/README.md; radiality_audit.csv; island_service_share_by_intensity.csv; model_semantic_impact_analysis.md; source_manifest.csv","FC_DYNAMIC_MODEL_INCLUDED=NO; candidate component is not an energized service claim; current W mainline unchanged"
"D04","Topology-based H2 dual-channel minimal-model freeze","H2_METHOD_PREVIEW","2026-08-22","D03;D02;W24;M07","HIGH","candidate MAT parameter fields; accepted D02/D03 reconstructors; Stage88 H2 A/C bank and DRO T table; run-006 unit tests and source manifest","freeze the smallest auditable electrical-island plus road H2 service formulation","D03 identified H2-containing islands but did not define service capacity or shared-inventory coupling","define D_res and A_elec; derive per-slice FC-equivalent caps from candidate MAT; couple electrical and road service to one T; solve 9x3x2 small LP sanity matrix","NO current model change; candidate equations only","NO adopted parameter change; read-only candidate fc fields and rule-based Tlarge test","NO new formal bank or input; read four loc4 states and selected Stage88 A/C identities","YES isolated Python/HiGHS diagnostic only","NO","NO","NO formal TerminalLOH change","NO","run_diagnostic.py; deterministic selector; two-phase sparse LP sanity solver","results/task-002-stage2b-b3-smoke/topology-h2-dual-channel-minimal-model/run-006/run_diagnostic.py","D02 G1 a3-a6 loc4 frozen paths + D03 topology + Stage88 H2 A/C + Stage88 DRO CAP200 T + candidate MAT","results/task-002-stage2b-b3-smoke/topology-h2-dual-channel-minimal-model/run-006","9 unique real scenarios; 54 LP rows; 7/7 tests PASS; 14 positive-electrical-service rows; strict ER shortage improvement in 6 scenario/T pairs","METHOD_PREVIEW","YES diagnostic conclusion","NONE","D_res/A_elec definitions; shared-T accounting; FC conversion audit; deterministic scenario manifest; LP and complexity audits","future H2 electrical-island recourse design evidence only","run-006/README.md; candidate_parameter_audit.csv; sanity_scenario_manifest.csv; sanity_recourse_results.csv; minimal_model_unit_tests.csv; source_manifest.csv","NOT CURRENT W MAINLINE; NOT ACCEPTED TERMINALLOH; no formal rerun; failed run-001 through run-005 preserved"
"I11","Stage89I dual-channel W support-expansion audit","W_SUPPORT_DIAGNOSTIC","2026-08-22","D04;D03;D02;W24","HIGH","formal exact-grouping sources; Stage88 manifest and 35 D/A/C banks; accepted D02/D03/D04 semantics; run-002 exact-count outputs","measure lossless support expansion and project computational cost before any formal dual-channel bank build","D04 left SUPPORT_EXPANSION_RISK unresolved for the proposed Dres/Aroad/Aelec/C signature","full 35x15000 frozen replay; unique-mask/topology cache; exact OLD/NEW byte-row counting; additive source decomposition; static LP/DRO/storage projection","NO current model change; diagnostic schema only","NO parameter change","NO new bank or random data; read-only 525000 frozen identities","YES isolated Python deterministic postprocessing","NO","NO","NO TerminalLOH solve or table change","NO","run_audit.py; exact_unique; topology_payload; static structure counter","results/task-002-stage2b-b3-smoke/stage89i-dual-channel-support-expansion-audit/run-002/run_audit.py","Stage87 frozen identities + Stage88 actual D/Aroad/C banks + D02 G1 replay + D03 topology + D04 semantics","results/task-002-stage2b-b3-smoke/stage89i-dual-channel-support-expansion-audit/run-002","OLD 457414; NEW 457431; total 1.000037x; median 1; q90 1.000040; max 1.000868; projected structure 1.126051x; risk LOW","DIAGNOSTIC_ONLY","YES diagnostic conclusion","NONE","exact grouping semantics auditor; lossless support decomposition; topology cache; static cost formulas","gate evidence for a future isolated Stage89J formal candidate construction only","run-002/README.md; exact_grouping_semantics_audit.md; support_expansion_by_state.csv; support_expansion_decomposition.csv; support_expansion_summary.csv; computational_cost_projection.md; source_manifest.csv","NOT CURRENT_W_MAINLINE; NOT ACCEPTED_TERMINALLOH; NOT FORMAL_W_CANDIDATE; run-001 preserved failed plot-API attempt"
